Time(Iteration),DisLinUCB,NIndepLinUCB,FCLUB_DC,HetoFedBandit,HetoFedBandit_Enhanced,DyClu
1625,3094,0,596,0,3523,0
1650,3094,0,612,0,3691,0
1675,3094,0,625,0,3871,0
1700,3244,0,640,0,3871,0
1725,3244,0,655,0,3871,0
1750,3244,0,674,0,4118,0
1775,3244,0,693,0,4272,0
1800,3244,0,706,0,4513,0
1825,3244,0,718,0,4677,0
1850,3244,0,732,0,4677,0
1875,3244,0,750,0,4754,0
1900,3244,0,764,0,4831,0
1925,3244,0,775,0,5003,0
1950,3244,0,788,0,5003,0
1975,3244,0,802,0,5003,0
2000,3394,0,816,0,5309,0
2025,3394,0,830,0,5388,0
2050,3394,0,848,0,5554,0
2075,3394,0,865,0,5716,0
2100,3394,0,882,0,5793,0
2125,3394,0,898,0,5793,0
2150,3394,0,914,0,5949,0
2175,3394,0,931,0,6182,0
2200,3394,0,948,0,6259,0
2225,3394,0,966,0,6425,0
2250,3394,0,985,0,6502,0
2275,3394,0,1000,0,6654,0
2300,3394,0,1016,0,6739,0
2325,3394,0,1035,0,6832,0
2350,3394,0,1048,0,6907,0
2375,3394,0,1068,0,6909,0
2400,3394,0,1081,0,7071,0
2425,3544,0,1099,0,7306,0
2450,3544,0,1117,0,7555,0
2475,3544,0,1134,0,7891,0
2500,3544,0,1152,0,7978,0
2525,3544,0,1171,0,8055,0
2550,3544,0,1189,0,8314,0
2575,3544,0,1202,0,8320,0
2600,3694,0,1217,0,8496,0
2625,3694,0,1235,0,8804,0
2650,3694,0,1252,0,8881,0
2675,3694,0,1270,0,8964,0
2700,3694,0,1281,0,9041,0
2725,3694,0,1295,0,9041,0
2750,3694,0,1309,0,9118,0
2775,3694,0,1328,0,9270,0
2800,3694,0,1341,0,9515,0
2825,3694,0,1358,0,9592,0
2850,3694,0,1369,0,9746,0
2875,3694,0,1386,0,9827,0
2900,3694,0,1402,0,9979,0
2925,3694,0,1417,0,10060,0
2950,3694,0,1432,0,10139,0
2975,3694,0,1449,0,10295,0
3000,3694,0,1465,0,10449,0
3025,3694,0,1479,0,10449,0
3050,3694,0,1498,0,10680,0
3075,3844,0,1512,0,10836,0
3100,3844,0,1523,0,10931,0
3125,3844,0,1535,0,11239,0
3150,3844,0,1551,0,11478,0
3175,3844,0,1564,0,11478,0
3200,3844,0,1583,0,11784,0
3225,3844,0,1597,0,11865,0
3250,3844,0,1612,0,12019,0
3275,3844,0,1621,0,12019,0
3300,3844,0,1636,0,12096,0
3325,3844,0,1654,0,12171,0
3350,3844,0,1669,0,12173,0
3375,3844,0,1685,0,12406,0
3400,3844,0,1698,0,12483,0
3425,3844,0,1712,0,12801,0
3450,3844,0,1729,0,12801,0
3475,3844,0,1741,0,12886,0
3500,3844,0,1756,0,13048,0
3525,3994,0,1770,0,13048,0
3550,3994,0,1785,0,13204,0
3575,3994,0,1800,0,13204,0
3600,3994,0,1813,0,13281,0
3625,3994,0,1827,0,13281,0
3650,3994,0,1838,0,13522,0
3675,3994,0,1854,0,13755,0
3700,3994,0,1866,0,13909,0
3725,3994,0,1876,0,13986,0
3750,3994,0,1886,0,14223,0
3775,3994,0,1899,0,14531,0
3800,3994,0,1916,0,14685,0
3825,3994,0,1933,0,14762,0
3850,3994,0,1946,0,14922,0
3875,3994,0,1958,0,14922,0
3900,3994,0,1971,0,15155,0
3925,3994,0,1987,0,15309,0
3950,3994,0,2000,0,15542,0
3975,3994,0,2013,0,15542,0
4000,3994,0,2025,0,15542,0
4025,3994,0,2040,0,15700,0
4050,3994,0,2053,0,15779,0
4075,3994,0,2063,0,15779,0
4100,3994,0,2075,0,15779,0
4125,3994,0,2090,0,15856,0
4150,4144,0,2107,0,16318,0
4175,4144,0,2124,0,16318,0
4200,4144,0,2142,0,16318,0
4225,4144,0,2157,0,16395,0
4250,4144,0,2174,0,16472,0
4275,4144,0,2190,0,16705,0
4300,4144,0,2208,0,16782,0
4325,4144,0,2226,0,16782,0
4350,4144,0,2244,0,17013,0
4375,4144,0,2259,0,17090,0
4400,4144,0,2274,0,17246,0
4425,4144,0,2293,0,17637,0
4450,4144,0,2311,0,17714,0
4475,4144,0,2324,0,17714,0
4500,4144,0,2344,0,17714,0
4525,4144,0,2360,0,17793,0
4550,4144,0,2377,0,17872,0
4575,4144,0,2392,0,18026,0
4600,4144,0,2406,0,18196,0
4625,4144,0,2424,0,18277,0
4650,4144,0,2445,0,18354,0
4675,4144,0,2458,0,18510,0
4700,4144,0,2473,0,18743,0
4725,4144,0,2493,0,18836,0
4750,4144,0,2508,0,18913,0
4775,4294,0,2520,0,19221,0
4800,4294,0,2535,0,19298,0
4825,4294,0,2550,0,19298,0
4850,4294,0,2565,0,19452,0
4875,4294,0,2579,0,19452,0
4900,4294,0,2597,0,19608,0
4925,4294,0,2616,0,19685,0
4950,4294,0,2633,0,19839,0
4975,4294,0,2648,0,19839,0
